#{"t_start": 1790246131.521974, "env_id": "LunarLander-v3"}
r,l,t
-226.859562,341,80.443924
-183.809396,353,80.560704
12.207044,544,81.429898
8.682545,458,81.639672
-249.651923,421,81.787191
-15.488471,585,82.007912
-196.940526,352,82.133666
-224.03866,407,83.122651
-218.265655,505,83.320438
5.015216,550,83.523034
34.115442,473,83.697861
-315.487757,590,84.671151
-72.676643,644,84.935126
-82.84069,659,85.174797
-268.73417,495,86.118027
15.311689,555,86.357378
-157.776936,260,86.454269
-156.591597,286,86.561058
34.917143,524,86.755006
-28.709613,591,87.78497
-35.729313,617,88.02332
-58.942776,566,88.231566
28.195806,551,88.433247
-202.777537,334,89.336259
-177.11836,263,89.462522
-289.535019,462,89.643143
-154.544491,276,89.742856
-384.360809,657,89.983392
-108.990012,864,90.973555
-359.162355,603,91.189256
-345.833454,546,91.381297
-207.857526,442,92.355
-352.106493,587,92.577134
-294.498776,550,92.780542
-98.821895,832,93.878166
-226.805208,365,94.051397
-354.174793,512,94.233075
-181.345524,262,94.324073
-178.752534,277,94.428337
-273.689585,426,95.336074
-304.788212,543,95.570872
-161.503923,253,95.659828
-56.560182,789,95.957629
-224.950256,540,96.935801
-245.412002,522,97.159648
-184.817164,477,97.330893
-252.679533,456,97.508154
-223.127708,501,98.441303
-361.83723,561,98.70716
-210.784384,435,98.859584
-56.435365,695,99.11191
-157.489451,932,100.218019
-219.104917,457,100.380614
-54.612596,860,100.694641
-313.767118,602,101.71081
-60.510983,746,101.999285
-257.09836,424,102.15468
-11.108575,676,103.22719
-21.06263,708,103.505645
-141.228261,259,103.603809
-128.797413,793,103.895072
-69.386007,790,105.016235
-41.430492,716,105.284941
-133.294549,890,106.413147
-88.529656,742,106.710184
-59.899842,791,106.992472
-134.486866,804,108.108207
-78.444876,835,108.409549
-40.256414,749,109.492634
-134.11175,935,109.847358
-177.632739,997,110.845073
-345.718267,1000,111.249732
-263.740784,1000,111.616353
-235.415698,471,112.644636
-350.290357,762,112.924609
-437.411465,750,113.201538
-40.812882,736,114.289922
-101.467568,212,114.367603
-360.985543,661,114.628724
-264.764841,638,115.659615
-59.806249,681,115.938953
-142.687379,112,115.983036
-192.046367,955,116.33375
-58.728432,637,117.412959
-5.600705,635,117.643104
-14.955127,640,117.882826
37.052117,570,118.85261
49.296153,605,119.095203
-329.083359,683,119.344903
17.292218,593,120.265618
-200.338492,414,120.449375
49.920856,514,120.63653
-217.135676,492,120.810775
25.522156,516,120.994901
-255.007005,530,121.986336
9.623555,542,122.184748
-195.539983,393,122.332302
4.798802,555,122.53924
-124.340043,785,123.609381
-181.021805,418,123.76631
-66.352216,615,123.985566
1.409481,586,125.014191
-4.989519,658,125.274304
-53.406094,645,125.504229
-43.346666,668,126.510186
55.510389,517,126.720025
51.470727,510,126.916939
-43.716131,673,127.167202
54.74282,506,128.159642
52.01688,531,128.358718
-214.838092,429,128.518689
-15.011583,657,128.762963
-251.656113,474,129.705971
70.091695,463,129.872142
30.713466,527,130.055963
-128.50251,841,131.149047
-337.048558,1000,131.563386
68.958307,451,131.736161
64.644944,718,132.84852
14.46313,517,133.046639
-1.092011,635,133.277318
-247.656069,506,133.488279
47.651092,462,134.664051
-49.710114,784,135.05741
33.073718,499,135.288685
26.694538,500,136.412155
-158.555695,334,136.569292
42.246682,540,136.811126
-44.009012,707,137.13082
-238.280428,432,138.079364
-175.613932,442,138.309815
76.484759,468,138.506345
27.529659,467,138.720534
43.018875,484,138.952038
-150.053588,412,139.942014
-8.658116,576,140.170056
-256.655707,1000,140.605324
-120.153043,399,141.519659
25.912156,483,141.735055
68.404193,450,141.929133
-68.176186,690,142.217787
-274.529642,497,143.232742
66.295025,542,143.464133
-30.691359,655,143.756225
36.573611,521,143.980815
-160.718335,415,144.97256
-48.687503,816,145.331425
57.082305,487,145.526148
-283.327366,1000,146.769459
57.450021,512,147.003182
47.522665,495,147.248279
-292.824149,1000,148.487663
51.431402,557,148.728206
31.739097,516,148.959363
-141.593918,397,150.075512
-303.635193,616,150.342895
72.603986,495,150.55609
-162.915343,377,150.70661
-372.62465,548,151.751793
68.570779,462,151.971514
-16.738952,564,152.21164
-239.742093,1000,153.578564
89.631676,450,153.792529
4.769671,510,154.03729
49.547008,474,154.239533
-31.099156,634,155.353982
49.531108,465,155.590847
81.915718,450,155.80297
-49.8767,554,156.059711
79.992726,439,156.25078
-148.94809,430,157.274665
-169.28706,327,157.454988
-202.556491,396,157.641933
-204.005087,475,157.849881
-171.746485,382,158.038701
103.595507,438,159.17758
29.006769,597,159.493619
49.596468,493,159.723739
33.123635,504,159.954057
82.954591,477,160.977155
-257.419604,1000,161.382877
5.014235,553,161.593621
-194.532211,390,162.695389
80.88125,506,162.942174
29.279369,517,163.182211
