#{"t_start": 1790245951.9653053, "env_id": "LunarLander-v3"}
r,l,t
-185.987009,227,60.000195
-155.73792,337,60.154122
-90.008988,238,60.268928
-80.977032,206,60.357623
120.706698,1000,61.583684
-88.572452,445,61.786556
-95.903243,538,62.044686
27.618067,282,62.159567
113.803007,1000,63.313787
52.207092,1000,63.799307
-58.052039,1000,65.168408
-134.023958,686,65.511268
198.294541,814,66.793567
16.658899,1000,67.2795
-197.802994,504,67.523732
-103.711802,1000,69.024018
-151.944084,697,69.347182
-104.363454,558,69.608644
-139.163021,817,70.829859
-83.29625,1000,71.366063
102.435395,1000,72.571234
-82.167603,1000,73.013476
-95.378872,471,73.222635
-120.43326,584,74.230638
-200.260371,871,74.639384
-92.497522,1000,75.928858
-8.798428,1000,76.380168
-52.590636,1000,77.636963
-177.619635,831,78.014809
-148.755404,712,78.370963
85.807757,856,79.803322
-52.459765,1000,80.316117
-55.18844,1000,81.792014
-51.094683,1000,82.287921
-69.076538,1000,83.548338
141.588017,958,83.961823
-59.394249,1000,85.25624
-49.236101,1000,85.722967
77.120101,1000,87.094529
12.969741,1000,87.582966
-51.381701,1000,88.918093
-29.430425,1000,89.419682
26.163683,1000,90.823648
-32.440477,1000,91.36746
-43.202621,1000,92.687424
-78.351279,1000,93.171102
158.708092,814,93.596662
-51.772717,1000,94.832403
-171.589632,883,95.272254
155.492584,864,96.462493
-68.49123,1000,96.942956
-154.14682,830,98.141188
-129.624344,983,98.592796
121.869391,897,99.89251
118.450801,937,100.372374
-47.230766,1000,101.61535
-12.043666,1000,102.070225
147.064349,866,102.498665
170.529154,661,103.718795
-22.771102,1000,104.19465
-56.586864,1000,105.537882
6.749247,1000,105.929677
108.518066,873,107.029276
-22.719376,1000,107.413153
171.784433,810,108.63519
-10.59779,1000,109.12638
155.224619,846,109.547585
-72.306484,706,110.782397
9.276037,1000,111.265996
139.635422,899,112.507522
139.945638,759,112.87308
205.324299,637,113.167297
-147.894015,842,114.283171
124.664163,751,114.616952
-33.426372,1000,115.811556
155.381857,628,116.109811
193.69575,523,116.363101
158.547446,765,117.454892
-0.916355,1000,117.901142
-85.142523,695,118.225219
188.089979,672,119.285995
-19.553171,1000,119.757152
165.057939,791,120.921217
176.927955,656,121.207196
168.928075,656,121.54212
167.29464,584,122.551171
-88.52951,1000,123.012137
-98.332031,1000,124.272134
-76.500484,414,124.444846
172.47808,553,124.671365
-58.146986,1000,125.817531
-37.813529,394,126.012078
130.148242,736,126.350484
134.216315,873,127.544287
213.431853,527,127.806327
183.019605,425,127.998541
162.805553,875,128.421736
166.67126,706,129.517311
-73.672414,1000,129.966589
179.971565,638,131.098202
-143.193019,996,131.56305
-111.869462,805,131.934611
-114.446014,808,133.153975
-52.055573,619,133.437016
135.894978,928,134.667083
199.802557,339,134.830126
199.294264,430,135.015631
-84.364937,513,135.226806
-47.539338,385,135.387985
-147.915667,958,136.554198
183.130912,495,136.798674
162.815535,860,138.046346
183.104389,498,138.314234
208.112643,532,138.561647
-8.666826,1000,139.857089
187.009263,480,140.0857
184.35223,530,140.312063
191.803671,479,140.531386
-104.725071,797,141.672063
-86.395161,505,141.890917
178.92549,626,142.178913
187.033743,434,142.372492
190.630847,514,143.384807
144.013992,828,143.765434
-35.986595,490,143.978575
-32.14957,344,144.135086
106.724764,915,145.34207
164.824434,924,145.680157
163.847069,655,146.816293
159.945973,490,147.037089
172.699869,714,147.37771
-53.031619,347,147.541152
187.848947,635,148.635066
202.520461,818,149.018631
164.658297,622,149.29766
162.861935,799,150.482214
206.219136,440,150.741708
107.296463,1000,152.128507
179.884524,836,152.543792
154.448015,706,152.899127
-93.270043,509,154.034345
199.211145,620,154.330023
157.348377,552,154.594853
